web-scraper-order,web-scraper-start-url,pages,pages-href,ads,ads-href,title,amount,location,Unit Type,Bedrooms,description,size
"1585065082-166","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","18","https://www.kijiji.ca/b-apartments-condos/calgary/page-18/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Wanted:
                            looking for an appartment july 2020","https://www.kijiji.ca/v-apartments-condos/calgary/looking-for-an-appartment-july-2020/1488465478","Wanted: looking for an appartment july 2020","$700.00","Calgary, AB, Canada, T2M2C2(View Map)","null","null","Hi! Me, my boyfriend and my dog are looking for an appartment in Calgary (July 2020).
We are french canadian from Québec and want to move to calgary this summer for a long term!
Around 700$/month
Thanks !!","500"
"1585066081-410","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","12","https://www.kijiji.ca/b-apartments-condos/calgary/page-12/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","BEAUTIFUL ONE BEDROOM ON THE RIVER FRONT","https://www.kijiji.ca/v-apartments-condos/calgary/beautiful-one-bedroom-on-the-river-front/1491729869","BEAUTIFUL ONE BEDROOM ON THE RIVER FRONT","$1,450.00","315 3 St SE, Calgary, AB T2G 0S3, Canada(View Map)","null","null","Incentives: ONLY $850 DAMAGE DEPOSIT!
*Pets are negotiable and will include a non-refundable pet deposit*
SHORT TERM LEASE : OPTION 3 - 6 MONTHS TO END OF AUGUST 2020.","660"
"1585064971-137","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","18","https://www.kijiji.ca/b-apartments-condos/calgary/page-18/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Central Core 1 Bedroom Suite","https://www.kijiji.ca/v-apartments-condos/calgary/central-core-1-bedroom-suite/1463946768","Central Core 1 Bedroom Suite","$965.00","500 505 4th Ave SW, T2P0J8, 505 4th Ave SW, AB(View Map)","null","null","If you are seeking a great value central core location for your suite requirements, London House would be a perfect location as the property is situated in the heart of downtown Calgary. Its proximity to bicycle paths, restaurants, cafes, Stampede grounds, shopping centres, as well as other amenities, businesses and services would allow for carefree living during your stay in Calgary. London House has a significant advantage over many other centrally located apartment buildings due to its accessibility to the Plus 15 System.","620"
"1585065183-193","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","20","https://www.kijiji.ca/b-apartments-condos/calgary/page-20/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Wanted:
                            WANTED FOR MARCH 15TH 2020....bachelor space with all utilities","https://www.kijiji.ca/v-apartments-condos/calgary/wanted-for-march-15th-2020-bachelor-space-with-all-utilities/1485120376","Wanted: WANTED FOR MARCH 15TH 2020....bachelor space with all utilities","$700.00","101 8 Ave SW, Calgary, AB T2P 1B4, Canada(View Map)","null","null","need laundry facility for 700 mnth. 50 yr old sober single male. Working F/T. Smokes outside only. Let me know what you have available please. Call or text Only 587-966-1958.","400"
"1585067510-523","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","9","https://www.kijiji.ca/b-apartments-condos/calgary/page-9/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Bankview Apartment For Rent | 1805 17 Street SW","https://www.kijiji.ca/v-apartments-condos/calgary/bankview-apartment-for-rent-1805-17-street-sw/1460810542","Bankview Apartment For Rent | 1805 17 Street SW","$1,050.00","1805 17 Street SW, Calgary, AB, T2T 4M3(View Map)","null","null","West 17 Apartments are located at 17th Street SW right at 17th Avenue West. West 17 Apartments are blocks away from the popular intersection of 17th Ave & 14th Street SW, providing residents accessibility to a range of local amenities.","519"
"1585065801-341","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","15","https://www.kijiji.ca/b-apartments-condos/calgary/page-15/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Looking for two bedroom today","https://www.kijiji.ca/v-apartments-condos/calgary/looking-for-two-bedroom-today/1490253559","Looking for two bedroom today","$950.00","Ave SE, Calgary, AB T2G 0Z1, Canada(View Map)","null","null","Looking for a two bed room today prefer northeast or southeast. Preferebly including looking for cheaper damage or a landlord will to take it in two payments. Quiet working couple I work two jobs just myself I have a ten year old daughter whos with me half the time she is quiet as well. can be upstairs or basement will pay rent and half damage deposit today","900"
"1585065478-264","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","17","https://www.kijiji.ca/b-apartments-condos/calgary/page-17/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Cat Friendly! Spacious 1 Bdrm Condo near Chinook Mall + 3 Months","https://www.kijiji.ca/v-apartments-condos/calgary/cat-friendly-spacious-1-bdrm-condo-near-chinook-mall-3-months/1488838112","Cat Friendly! Spacious 1 Bdrm Condo near Chinook Mall + 3 Months","$1,250.00","525 56 Ave SW, Calgary, AB T2V 4Z9, Canada(View Map)","null","null","UPDATE: PENDING LEASE - Cat friendly + 3 months of free internet! Available immediately. Perfect for couple or professional working close to Downtown. One Bedroom condo, 700 square feet, real hardwood floors and slate tile throughout. This unit is on the 3rd floor of a low-rise building (has elevator) and is close to Chinook Mall. Includes, stainless steel Samsung and Bosch appliances, new tiled bath/shower, balcony, secured underground parking spot, secured building, in suite European washer/dryer combo machine, lots of storage, elevator etc. Email or text only. Min. 1 year lease. Heat and water included. Max. 2 cats allowed.","700"
"1585068209-542","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","9","https://www.kijiji.ca/b-apartments-condos/calgary/page-9/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Downtown Apartment For Rent | 211 14 Avenue SW","https://www.kijiji.ca/v-apartments-condos/calgary/downtown-apartment-for-rent-211-14-avenue-sw/1460810625","Downtown Apartment For Rent | 211 14 Avenue SW","$1,250.00","211 14 Avenue SW, Calgary, AB, T2R 0M2(View Map)","null","null","Live in a boutique Downtown apartment in Calgary.","690"
"1585065279-220","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","19","https://www.kijiji.ca/b-apartments-condos/calgary/page-19/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Spacious Downtown 2 BED 2 BATH CONDO near cTrain","https://www.kijiji.ca/v-apartments-condos/calgary/spacious-downtown-2-bed-2-bath-condo-near-ctrain/1486071722","Spacious Downtown 2 BED 2 BATH CONDO near cTrain","$1,599.00","126 14 Ave SW, Calgary, AB T2R 0L9, Canada(View Map)","null","null","Seeking responsible, long-term tenants:
Spacious, Convenient Victoria Park condo ~ 1200sf","1,200"
"1585065996-389","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","13","https://www.kijiji.ca/b-apartments-condos/calgary/page-13/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Renovated 1 & 2 Bedroom Apartments in Bridgeland | 419 1 Ave NE","https://www.kijiji.ca/v-apartments-condos/calgary/renovated-1-2-bedroom-apartments-in-bridgeland-419-1-ave-ne/1414931071","Renovated 1 & 2 Bedroom Apartments in Bridgeland | 419 1 Ave NE","$1,175.00","419 - 1 Avenue NE, Calgary, AB, T2E 0B3(View Map)","null","null","","Not Available"
